bus : -6377097066863269988 | -0x587ffffeb8921864 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0110 0100
bus : -6377097066863269992 | -0x587ffffeb8921868 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0110 1000
bus : -6377097066863269994 | -0x587ffffeb892186a | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0110 1010
bus : -6377097066863269998 | -0x587ffffeb892186e | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0110 1110
bus : -6377097066863270002 | -0x587ffffeb8921872 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0111 0010
bus : -6377097066863270004 | -0x587ffffeb8921874 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0111 0100
bus : -6377097066863270038 | -0x587ffffeb8921896 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1001 0110
bus : -6377097066863270050 | -0x587ffffeb89218a2 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1010 0010
bus : -6377097066863270060 | -0x587ffffeb89218ac | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1010 1100
bus : -6377097066863270066 | -0x587ffffeb89218b2 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1011 0010
bus : -6377097066863270068 | -0x587ffffeb89218b4 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1011 0100
bus : -6377097066863270070 | -0x587ffffeb89218b6 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1011 0110
bus : -6377097066863270084 | -0x587ffffeb89218c4 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1100 0100
bus : -6377097066863270184 | -0x587ffffeb8921928 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0010 1000
bus : -6377097066863270256 | -0x587ffffeb8921970 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0111 0000
del2: -6377097066863269938 | -0x587ffffeb8921832 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0011 0010
del : -6377097066863269938 | -0x587ffffeb8921832 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 0011 0010
del : -6377097066863270040 | -0x587ffffeb8921898 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1001 1000
tram: -6377097066863270126 | -0x587ffffeb89218ee | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1110 1110
tram: -6377097066863270128 | -0x587ffffeb89218f0 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1111 0000
tram: -6377097066863270130 | -0x587ffffeb89218f2 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1111 0010
tram: -6377097066863270132 | -0x587ffffeb89218f4 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1000 1111 0100
tram: -6377097066863270144 | -0x587ffffeb8921900 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0000 0000
tram: -6377097066863270148 | -0x587ffffeb8921904 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0000 0100
tram: -6377097066863270154 | -0x587ffffeb892190a | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0000 1010
tram: -6377097066863270156 | -0x587ffffeb892190c | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0000 1100
tram: -6377097066863270160 | -0x587ffffeb8921910 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0001 0000
tram: -6377097066863270162 | -0x587ffffeb8921912 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0001 0010
tram: -6377097066863270164 | -0x587ffffeb8921914 | 101 1000 0111 1111 1111 1111 1111 1110 1011 1000 1001 0010 0001 1001 0001 0100
